REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,1,,2B2G (x86) (Ambisonic Studio B2X) (9ch),2B2G.vst
,2,,2B2Mix (x86) (Ambisonic Studio B2X) (72->9ch),2B2Mix.vst
,3,,<SHELL>,360pan_suite.vst3
,4,,360pan (Audio Ease) (7->9ch),360pan_suite.vst3<1021087109
,5,,360radar (Audio Ease) (4ch),360pan_suite.vst3<1133721142
,6,,360turner (Audio Ease) (4ch),360pan_suite.vst3<1186589039
,7,,360pan (Audio Ease) (1->4ch),360pan_suite.vst3<1283971187
,8,,360pan (Audio Ease) (2->9ch),360pan_suite.vst3<1298600378
,9,,360pan (Audio Ease) (4->9ch),360pan_suite.vst3<1309344797
,10,,360pan (Audio Ease) (4ch),360pan_suite.vst3<1382866194
,11,,360reverb (Audio Ease) (9ch),360pan_suite.vst3<1456768700
,12,,360pan (Audio Ease) (2->4ch),360pan_suite.vst3<1525813585
,13,,360fuma to ambix (Audio Ease) (4ch),360pan_suite.vst3<1558240298
,14,,360monitor speakers (Audio Ease) (4->5ch),360pan_suite.vst3<1581546076
,15,,360reverb (Audio Ease) (4ch),360pan_suite.vst3<1706269532
,16,,360pan (Audio Ease) (1->9ch),360pan_suite.vst3<1735564276
,17,,360turner (Audio Ease) (9ch),360pan_suite.vst3<1767662234
,18,,360monitor headphones (Audio Ease),360pan_suite.vst3<2023234593
,19,,360pan (Audio Ease) (5->4ch),360pan_suite.vst3<316693119
,20,,360pan (Audio Ease) (7->4ch),360pan_suite.vst3<402284840
,21,,360radar (Audio Ease) (9ch),360pan_suite.vst3<457357050
,22,,360monitor headphones (Audio Ease),360pan_suite.vst3<525388578
,23,,360monitor speakers (Audio Ease),360pan_suite.vst3<718077287
,24,,360ambix to fuma (Audio Ease) (4ch),360pan_suite.vst3<864183969
,25,,360pan (Audio Ease) (5->9ch),360pan_suite.vst3<981960730
,26,,360monitor speakers (Audio Ease) (4ch),360pan_suite.vst3<981982375
,27,,360RACS (Audio Futures),360RACS.vst3
,28,,3D Binaural Spatializer (Klingler),3D_Binaural_Spatializer.vst
,29,,8-Bit Shaper (Xfer Records),8BitShaper.vst
,30,,++bubbler (SoundHack),__bubbler.vst
,31,,++delay (SoundHack),__delay.vst
,32,,++flipper (SoundHack),__flipper.vst
,33,,++pitchdelay (SoundHack),__pitchdelay.vst
,34,,a1Monitor (SSA Plugins) (4ch),a1Monitor_demo.vst
,35,,a1Panner (SSA Plugins) (2->4ch),a1Panner.vst
,36,,AMBEO A-B Format Converter (Sennheiser) (4ch),A_B_Format_Converter.vst
,37,,AMBEO A-B Format Converter (Sennheiser) (4ch),A_B_Format_Converter.vst3
,38,,AB_LM (TBProAudio),AB_LM.vst
,39,,AB_LM (TBProAudio),AB_LM.vst3
,40,Instr.,Ample Bass P Lite II (Ample Sound)!!!VSTi,ABPL2.vst
,41,Instr.,Absynth 5 (Native Instruments GmbH) (2->6ch)!!!VSTi,Absynth_5.vst
,42,,Absynth 5 (Native Instruments GmbH),Absynth_5_FX.vst
,43,,Absynth 5 (Native Instruments GmbH) (2->6ch),Absynth_5_FX_Surround.vst
,44,Instr.,Absynth 5 (Native Instruments GmbH)!!!VSTi,Absynth_5_Stereo.vst
,45,Instr.,ADSR Sample Manager (ADSR)!!!VSTi,ADSR_Sample_Manager.vst
,46,Instr.,ADSR Sample Manager (ADSR)!!!VSTi,ADSR_Sample_Manager.vst3
,47,Instr.,Ample Guitar M II Lite (Ample Sound)!!!VSTi,AGML2.vst
,48,,Air (Sound Particles) (64ch),Air.vst
,49,,Air (Sound Particles),Air.vst3
,50,,AllRADecoder (IEM) (64ch),AllRADecoder.vst
,51,,Ambi Converter (Noise Makers) (4ch),AmbiConverter.vst
,52,,AmbiFreeverb (WigWare) (4ch),AmbiFreeverb.vst
,53,,AmbiFreeverb 2 (WigWare) (4ch),AmbiFreeverb2.vst
,54,,Ambi Head (Noise Makers) (4ch),AmbiHead.vst
,55,,Ambi Head HD (Noise Makers) (16ch),AmbiHeadHD.vst
,56,,Ambi Limiter HD (Noise Makers) (16ch),AmbiLimiterHD.vst
,57,,Ambi Pan (Noise Makers) (2->4ch),AmbiPan.vst
,58,,Ambi Pan HD (Noise Makers) (8->16ch),AmbiPanHD.vst
,59,,Ambi Verb HD (Noise Makers) (16ch),AmbiVerbHD.vst
,60,,ambix_binaural_o1 (kronlachner),ambix_binaural_o1.vst
,61,,ambix_binaural_o3 (kronlachner),ambix_binaural_o3.vst
,62,,ambix_binaural_o5 (kronlachner),ambix_binaural_o5.vst
,63,,ambix_binaural_o7 (kronlachner),ambix_binaural_o7.vst
,64,,ambix_converter_o1 (kronlachner) (4ch),ambix_converter_o1.vst
,65,,ambix_converter_o3 (kronlachner) (16ch),ambix_converter_o3.vst
,66,,ambix_converter_o5 (kronlachner) (36ch),ambix_converter_o5.vst
,67,,ambix_converter_o7 (kronlachner) (64ch),ambix_converter_o7.vst
,68,,ambix_decoder_o1 (kronlachner) (4->48ch),ambix_decoder_o1.vst
,69,,ambix_decoder_o3 (kronlachner) (16->48ch),ambix_decoder_o3.vst
,70,,ambix_decoder_o5 (kronlachner) (36->48ch),ambix_decoder_o5.vst
,71,,ambix_decoder_o7 (kronlachner) (64ch),ambix_decoder_o7.vst
,72,,ambix_directional_loudness_o1 (kronlachner) (4ch),ambix_directional_loudness_o1.vst
,73,,ambix_directional_loudness_o3 (kronlachner) (16ch),ambix_directional_loudness_o3.vst
,74,,ambix_directional_loudness_o5 (kronlachner) (36ch),ambix_directional_loudness_o5.vst
,75,,ambix_directional_loudness_o7 (kronlachner) (64ch),ambix_directional_loudness_o7.vst
,76,,ambix_encoder_i2_o1 (kronlachner) (2->4ch),ambix_encoder_i2_o1.vst
,77,,ambix_encoder_i2_o3 (kronlachner) (2->16ch),ambix_encoder_i2_o3.vst
,78,,ambix_encoder_i2_o5 (kronlachner) (2->36ch),ambix_encoder_i2_o5.vst
,79,,ambix_encoder_i2_o7 (kronlachner) (2->64ch),ambix_encoder_i2_o7.vst
,80,,ambix_encoder_i4_o1 (kronlachner) (4ch),ambix_encoder_i4_o1.vst
,81,,ambix_encoder_i4_o3 (kronlachner) (4->16ch),ambix_encoder_i4_o3.vst
,82,,ambix_encoder_i4_o5 (kronlachner) (4->36ch),ambix_encoder_i4_o5.vst
,83,,ambix_encoder_i4_o7 (kronlachner) (4->64ch),ambix_encoder_i4_o7.vst
,84,,ambix_encoder_i6_o1 (kronlachner) (6->4ch),ambix_encoder_i6_o1.vst
,85,,ambix_encoder_i6_o3 (kronlachner) (6->16ch),ambix_encoder_i6_o3.vst
,86,,ambix_encoder_i6_o5 (kronlachner) (6->36ch),ambix_encoder_i6_o5.vst
,87,,ambix_encoder_i6_o7 (kronlachner) (6->64ch),ambix_encoder_i6_o7.vst
,88,,ambix_encoder_i8_o1 (kronlachner) (8->4ch),ambix_encoder_i8_o1.vst
,89,,ambix_encoder_i8_o3 (kronlachner) (8->16ch),ambix_encoder_i8_o3.vst
,90,,ambix_encoder_i8_o5 (kronlachner) (8->36ch),ambix_encoder_i8_o5.vst
,91,,ambix_encoder_i8_o7 (kronlachner) (8->64ch),ambix_encoder_i8_o7.vst
,92,,ambix_encoder_o1 (kronlachner) (1->4ch),ambix_encoder_o1.vst
,93,,ambix_encoder_o3 (kronlachner) (1->16ch),ambix_encoder_o3.vst
,94,,ambix_encoder_o5 (kronlachner) (1->36ch),ambix_encoder_o5.vst
,95,,ambix_encoder_o7 (kronlachner) (1->64ch),ambix_encoder_o7.vst
,96,,ambix_maxre_o1 (kronlachner) (4ch),ambix_maxre_o1.vst
,97,,ambix_maxre_o3 (kronlachner) (16ch),ambix_maxre_o3.vst
,98,,ambix_maxre_o5 (kronlachner) (36ch),ambix_maxre_o5.vst
,99,,ambix_maxre_o7 (kronlachner) (64ch),ambix_maxre_o7.vst
,100,,ambix_mirror_o1 (kronlachner) (4ch),ambix_mirror_o1.vst
,101,,ambix_mirror_o3 (kronlachner) (16ch),ambix_mirror_o3.vst
,102,,ambix_mirror_o5 (kronlachner) (36ch),ambix_mirror_o5.vst
,103,,ambix_mirror_o7 (kronlachner) (64ch),ambix_mirror_o7.vst
,104,,ambix_rotator_o1 (kronlachner) (4ch),ambix_rotator_o1.vst
,105,,ambix_rotator_o3 (kronlachner) (16ch),ambix_rotator_o3.vst
,106,,ambix_rotator_o5 (kronlachner) (36ch),ambix_rotator_o5.vst
,107,,ambix_rotator_o7 (kronlachner) (64ch),ambix_rotator_o7.vst
,108,,ambix_rotator_z_o1 (kronlachner) (4ch),ambix_rotator_z_o1.vst
,109,,ambix_rotator_z_o3 (kronlachner) (16ch),ambix_rotator_z_o3.vst
,110,,ambix_rotator_z_o5 (kronlachner) (36ch),ambix_rotator_z_o5.vst
,111,,ambix_rotator_z_o7 (kronlachner) (64ch),ambix_rotator_z_o7.vst
,112,,ambix_vmic_o1 (kronlachner) (4->8ch),ambix_vmic_o1.vst
,113,,ambix_vmic_o3 (kronlachner) (16->8ch),ambix_vmic_o3.vst
,114,,ambix_vmic_o5 (kronlachner) (36->8ch),ambix_vmic_o5.vst
,115,,ambix_vmic_o7 (kronlachner) (64->8ch),ambix_vmic_o7.vst
,116,,ambix_warp_o1 (kronlachner) (4ch),ambix_warp_o1.vst
,117,,ambix_warp_o3 (kronlachner) (16ch),ambix_warp_o3.vst
,118,,ambix_warp_o5 (kronlachner) (36ch),ambix_warp_o5.vst
,119,,ambix_warp_o7 (kronlachner) (64ch),ambix_warp_o7.vst
,120,,ambix_widening_o1 (kronlachner) (4ch),ambix_widening_o1.vst
,121,,ambix_widening_o3 (kronlachner) (16ch),ambix_widening_o3.vst
,122,,ambix_widening_o5 (kronlachner) (36ch),ambix_widening_o5.vst
,123,,ambix_widening_o7 (kronlachner) (64ch),ambix_widening_o7.vst
,124,Instr.,Arcade (Output)!!!VSTi,Arcade.vst
,125,Instr.,Arcade (Output)!!!VSTi,Arcade.vst3
,126,Instr.,audioweather_free (AudioGaming) (6ch)!!!VSTi,audioweather_free.vst
,127,,Audreio Effect (Audreio),Audreio.vst
,128,,Auto-Align (Sound Radix),AutoAlign.vst
,129,,Auto-Align (Sound Radix),AutoAlign.vst3
,130,,AVOX ARTICULATOR (Antares),AVOX_ARTICULATOR.vst3
,131,,AVOX ASPIRE (Antares),AVOX_ASPIRE.vst3
,132,,AVOX CHOIR (Antares),AVOX_CHOIR.vst3
,133,,AVOX DUO (Antares),AVOX_DUO.vst3
,134,,AVOX MUTATOR (Antares),AVOX_MUTATOR.vst3
,135,,AVOX PUNCH (Antares),AVOX_PUNCH.vst3
,136,,AVOX SYBIL (Antares),AVOX_SYBIL.vst3
,137,,AVOX THROAT (Antares),AVOX_THROAT.vst3
,138,,AVOX WARM (Antares),AVOX_WARM.vst3
,139,,aXMeter (SSA Plugins) (64ch),aXMeter.vst
,140,,B2B (x86) (Ambisonic Studio B2X) (4ch),B2B.vst
,141,,B2B5 (x86) (Ambisonic Studio B2X) (12ch),B2B5.vst
,142,,audiounit (Ambisonic Studio) (4ch),B2B_alpha.vst
,143,,B2D (x86) (Ambisonic Studio B2X) (12ch),B2D.vst
,144,,B2G (x86) (Ambisonic Studio B2X) (6ch),B2G.vst
,145,,B2Mix (x86) (Ambisonic Studio B2X) (32->4ch),B2Mix.vst
,146,,audiounit (Ambisonic Studio),B2Stereo_Max_alpha.vst
,147,,B2Stereo UHJ (x86) (Ambisonic Studio B2X) (4ch),B2Stereo_UHJ.vst
,148,,B2Verb (x86) (Ambisonic Studio B2X) (4ch),B2Verb.vst
,149,,Balancer (Focusrite),balancer.vst
,150,,Balancer (Focusrite),balancer.vst3
,151,Instr.,Battery 4 (Native Instruments GmbH) (32 out)!!!VSTi,Battery_4.vst
